Hatchback, LandRover, QKA79, FWD, False, MANUAL, 25250, GAZOLINE, 180000
Convertible, LandRover, AN352, FWD, True, MANUAL, 58333, GAZOLINE, 168000
MPV, Unique, WB001, FWD, True, AUTO, 15747, GAZOLINE, 96000
Sport, Unique, UU061, 4WD, False, MANUAL, 31125, GAZOLINE, 144000
Sedan, Alfa Romeo, WDR24, RWD, False, AUTO, 14435, GAZOLINE, 108000
SUV, Lincoln, DBR78, FWD, False, MANUAL, 11839, GAZOLINE, 108000
Coupe, Marcos, MYQ08, RWD, True, MANUAL, 35508, DIESEL, 60000
MPV, Unique, WZH62, FWD, True, MANUAL, 77443, GAZOLINE, 192000
SUV, Bentley, BZR12, FWD, True, MANUAL, 83250, DIESEL, 48000
Crossover, Toyota, JYJ97, RWD, False, MANUAL, 15818, GAZOLINE, 228000
Sport, LandRover, ZBP28, FWD, True, MANUAL, 5661, DIESEL, 96000
Sport, Saturn, EU566, 4WD, False, MANUAL, 9572, GAZOLINE, 132000
Crossover, Unique, CD310, 4WD, True, AUTO, 95873, GAZOLINE, 168000
MPV, Chevrolet, TCG86, FWD, False, AUTO, 32226, GAZOLINE, 144000
MPV, Suzuki, ESP86, 4WD, False, MANUAL, 13733, DIESEL, 60000
Crossover, Suzuki, BB784, 4WD, False, MANUAL, 28714, GAZOLINE, 228000
MPV, Toyota, KH011, RWD, False, MANUAL, 12575, DIESEL, 180000
Convertible, Saturn, LNO30, FWD, False, MANUAL, 52992, DIESEL, 144000
SUV, Toyota, NTK97, 4WD, True, MANUAL, 7345, DIESEL, 156000
Crossover, Bentley, GAS01, RWD, True, AUTO, 2772, GAZOLINE, 156000
Hatchback, Marcos, OJ573, RWD, False, AUTO, 20933, GAZOLINE, 216000
SUV, Campagna, IG332, FWD, False, MANUAL, 62372, DIESEL, 36000
Crossover, Lincoln, PFL01, FWD, True, AUTO, 3541, DIESEL, 84000
Convertible, Suzuki, KAN11, 4WD, True, AUTO, 55878, DIESEL, 96000
MPV, Campagna, ATJ52, 4WD, False, MANUAL, 92332, GAZOLINE, 144000
Convertible, Bentley, FJ156, RWD, True, AUTO, 39142, GAZOLINE, 240000
Sedan, Lincoln, IM154, FWD, True, MANUAL, 79759, GAZOLINE, 132000
Crossover, Suzuki, GZ305, RWD, False, AUTO, 84311, GAZOLINE, 228000
Crossover, Bentley, FP265, 4WD, True, MANUAL, 17892, GAZOLINE, 240000
Convertible, Toyota, RYN26, RWD, True, MANUAL, 11561, DIESEL, 132000
Hatchback, Toyota, WP889, RWD, False, AUTO, 43257, GAZOLINE, 108000
Crossover, Saturn, TCM45, FWD, False, MANUAL, 62688, DIESEL, 96000
Sport, Saturn, SML96, 4WD, False, MANUAL, 98027, GAZOLINE, 120000
Crossover, Chevrolet, UT004, FWD, True, AUTO, 45802, GAZOLINE, 108000
Convertible, Toyota, KFO50, RWD, True, MANUAL, 43758, GAZOLINE, 72000
Sport, Unique, DB014, 4WD, False, MANUAL, 63758, GAZOLINE, 204000
SUV, LandRover, EUO30, FWD, True, MANUAL, 90183, GAZOLINE, 228000
MPV, Audi, WW985, FWD, False, MANUAL, 91441, GAZOLINE, 144000
SUV, Unique, ZT677, RWD, True, MANUAL, 10479, DIESEL, 192000
Crossover, LandRover, RH812, RWD, False, AUTO, 21704, GAZOLINE, 180000
Convertible, LandRover, JM528, RWD, True, AUTO, 98146, DIESEL, 168000
Sedan, Lincoln, YU818, 4WD, True, MANUAL, 49468, DIESEL, 192000
Hatchback, Marcos, NSM99, FWD, True, MANUAL, 71050, DIESEL, 156000
SUV, Lincoln, PQ555, FWD, False, MANUAL, 60715, GAZOLINE, 204000
SUV, Suzuki, DCD96, 4WD, False, MANUAL, 61164, DIESEL, 36000
Coupe, Ferrari, TN920, RWD, True, AUTO, 3011, DIESEL, 180000
MPV, Bentley, OZB83, 4WD, True, MANUAL, 84199, DIESEL, 24000
MPV, Bentley, BOA93, RWD, False, MANUAL, 91563, DIESEL, 24000
Crossover, Alfa Romeo, WL216, 4WD, True, MANUAL, 11826, GAZOLINE, 240000
Coupe, Suzuki, AAZ70, RWD, True, MANUAL, 81925, DIESEL, 96000
Hatchback, Marcos, YKY73, 4WD, True, MANUAL, 85585, DIESEL, 120000
Sedan, Suzuki, ET677, FWD, True, MANUAL, 99813, GAZOLINE, 72000
Crossover, Campagna, LN802, RWD, True, MANUAL, 8480, GAZOLINE, 228000
MPV, Toyota, LWA61, 4WD, True, AUTO, 91251, DIESEL, 72000
MPV, Suzuki, PEE51, RWD, False, MANUAL, 1245, DIESEL, 36000
Convertible, Marcos, HBU00, 4WD, True, AUTO, 53157, GAZOLINE, 168000
MPV, Ferrari, HGQ15, FWD, False, AUTO, 57005, DIESEL, 144000
Hatchback, Suzuki, BZN00, 4WD, True, AUTO, 63104, DIESEL, 24000
MPV, Suzuki, UB686, 4WD, False, MANUAL, 94960, GAZOLINE, 108000
Convertible, Campagna, OHS40, RWD, True, AUTO, 33512, GAZOLINE, 168000
Hatchback, Ferrari, ZLZ22, FWD, True, MANUAL, 70526, DIESEL, 204000
Sedan, Suzuki, CF763, RWD, False, MANUAL, 4989, DIESEL, 60000
Hatchback, Chevrolet, SJ653, RWD, False, MANUAL, 86235, DIESEL, 204000
Coupe, Chevrolet, WGI40, RWD, True, MANUAL, 57574, DIESEL, 24000
Sedan, LandRover, AF932, 4WD, True, AUTO, 54285, DIESEL, 240000
Hatchback, LandRover, PO940, RWD, True, MANUAL, 55707, DIESEL, 36000
MPV, Toyota, IW798, 4WD, False, AUTO, 15373, GAZOLINE, 180000
Convertible, Campagna, ISJ12, 4WD, False, AUTO, 33432, DIESEL, 84000
Hatchback, Marcos, OD063, RWD, True, MANUAL, 79321, DIESEL, 216000
Sport, Bentley, WNW58, 4WD, False, MANUAL, 58389, GAZOLINE, 72000
Hatchback, LandRover, RM742, RWD, False, AUTO, 11719, DIESEL, 36000
Sedan, Ferrari, LWD62, 4WD, True, AUTO, 16892, DIESEL, 48000
Sport, Audi, LO179, FWD, False, AUTO, 81665, DIESEL, 216000
Sedan, Lincoln, SAP63, 4WD, True, MANUAL, 22675, DIESEL, 60000
Sedan, Suzuki, PTE40, RWD, False, AUTO, 20262, DIESEL, 24000
Crossover, Chevrolet, DJH35, RWD, True, MANUAL, 74157, DIESEL, 204000
Convertible, Toyota, GU633, FWD, True, MANUAL, 37077, DIESEL, 168000
Hatchback, Chevrolet, EKN14, 4WD, False, AUTO, 22130, GAZOLINE, 84000
Crossover, Lincoln, MI299, 4WD, False, AUTO, 79043, DIESEL, 72000
Coupe, Lincoln, QWO95, 4WD, True, MANUAL, 61793, DIESEL, 240000
Coupe, Suzuki, AMB34, RWD, True, AUTO, 89781, GAZOLINE, 72000
Sport, Suzuki, BA112, 4WD, True, AUTO, 48247, DIESEL, 48000
Sport, Chevrolet, AR386, RWD, True, AUTO, 82176, DIESEL, 108000
SUV, Toyota, MP193, FWD, False, AUTO, 25635, GAZOLINE, 108000
Coupe, Suzuki, TIO59, RWD, True, MANUAL, 17820, GAZOLINE, 168000
Sedan, Unique, KES55, RWD, False, AUTO, 48892, GAZOLINE, 72000
Coupe, Campagna, YDP54, 4WD, True, AUTO, 48469, DIESEL, 180000
Coupe, Saturn, GL574, FWD, False, MANUAL, 43779, DIESEL, 72000
Crossover, Toyota, IF013, 4WD, True, MANUAL, 37829, DIESEL, 144000
Sport, LandRover, QPD39, FWD, True, MANUAL, 39727, GAZOLINE, 84000
Convertible, Ferrari, OEZ22, 4WD, True, AUTO, 10397, GAZOLINE, 132000
Coupe, Unique, LA127, RWD, False, MANUAL, 38519, DIESEL, 60000
Crossover, Alfa Romeo, PH921, 4WD, True, AUTO, 85793, DIESEL, 96000
Convertible, Marcos, ZH077, 4WD, True, MANUAL, 84700, DIESEL, 180000
MPV, Bentley, ECK68, RWD, False, MANUAL, 52056, DIESEL, 72000
Sport, Alfa Romeo, ZGS53, RWD, True, AUTO, 64764, DIESEL, 168000
Coupe, Unique, JWG08, FWD, False, MANUAL, 96613, DIESEL, 84000
Sedan, Bentley, TP332, 4WD, False, AUTO, 52279, GAZOLINE, 144000
Hatchback, Chevrolet, JA313, RWD, False, AUTO, 71551, GAZOLINE, 72000
Coupe, Suzuki, CPO51, FWD, True, MANUAL, 56479, DIESEL, 72000
SUV, Ferrari, QB966, RWD, True, AUTO, 48267, DIESEL, 240000
Hatchback, Chevrolet, LG148, 4WD, True, MANUAL, 50517, DIESEL, 180000
Sport, Lincoln, LJO77, 4WD, False, AUTO, 94377, DIESEL, 120000
Coupe, Audi, FTS73, RWD, True, MANUAL, 49024, DIESEL, 156000
Coupe, Unique, YD525, FWD, True, MANUAL, 49619, GAZOLINE, 156000
Convertible, LandRover, MA954, 4WD, True, MANUAL, 27774, GAZOLINE, 216000
Convertible, Suzuki, TW793, FWD, True, MANUAL, 83178, GAZOLINE, 204000
Sport, Alfa Romeo, NF611, FWD, True, AUTO, 36916, GAZOLINE, 72000
MPV, Chevrolet, RCH89, RWD, False, AUTO, 42612, GAZOLINE, 216000
MPV, Campagna, NF216, RWD, True, MANUAL, 41705, DIESEL, 48000
SUV, Suzuki, CSK01, 4WD, False, MANUAL, 92964, GAZOLINE, 144000
Coupe, Marcos, GDO01, 4WD, True, AUTO, 83802, GAZOLINE, 180000
SUV, Bentley, PNM95, 4WD, False, MANUAL, 53796, GAZOLINE, 96000
Convertible, Chevrolet, RRF54, RWD, True, AUTO, 61708, DIESEL, 24000
Coupe, Marcos, BFM56, RWD, False, MANUAL, 84625, GAZOLINE, 144000
MPV, Ferrari, JQ039, FWD, True, MANUAL, 74870, GAZOLINE, 204000
Coupe, Unique, KSF79, FWD, True, AUTO, 50080, DIESEL, 144000
Coupe, Unique, LEQ06, FWD, False, MANUAL, 67851, GAZOLINE, 192000
Hatchback, Saturn, ZR174, FWD, True, AUTO, 40598, DIESEL, 204000
Convertible, LandRover, PMP98, RWD, False, AUTO, 79675, DIESEL, 24000
Sport, Suzuki, ETL04, 4WD, False, MANUAL, 54506, GAZOLINE, 24000
SUV, Lincoln, OWB05, RWD, True, AUTO, 52002, DIESEL, 84000
SUV, Alfa Romeo, SI643, 4WD, True, AUTO, 81201, GAZOLINE, 216000
Convertible, Alfa Romeo, YF248, 4WD, False, AUTO, 20366, GAZOLINE, 72000
Sport, Saturn, GCY97, RWD, False, AUTO, 51000, GAZOLINE, 48000
Sedan, Marcos, KB038, FWD, False, MANUAL, 61611, GAZOLINE, 240000
Crossover, LandRover, SE797, RWD, False, AUTO, 75848, GAZOLINE, 60000
Coupe, Lincoln, SAH71, 4WD, False, AUTO, 29028, DIESEL, 168000
Sport, Suzuki, TCS26, RWD, True, MANUAL, 28149, GAZOLINE, 60000
SUV, LandRover, OPR88, FWD, True, MANUAL, 54271, DIESEL, 156000
